mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_large-8,2_mobilenet_v3_large-8,3_mobilenet_v3_large-8
mig,0.1,0.010728836059570312,0.011444091796875,0.011205673217773438,0.011444091796875
mig,0.2,0.010967254638671875,0.011205673217773438,0.010728836059570312,0.011682510375976562
mig,0.3,0.010967254638671875,0.010728836059570312,0.011205673217773438,0.011682510375976562
mig,0.4,0.010728836059570312,0.009298324584960938,0.01049041748046875,0.010967254638671875
mig,0.5,0.00858306884765625,0.009059906005859375,0.009059906005859375,0.010728836059570312
mig,0.6,0.00858306884765625,0.008344650268554688,0.00858306884765625,0.0095367431640625
mig,0.7,0.008344650268554688,0.00858306884765625,0.009059906005859375,0.01049041748046875
mig,0.8,0.008821487426757812,0.008821487426757812,0.009059906005859375,0.0095367431640625
mig,0.9,0.009298324584960938,0.008821487426757812,0.00858306884765625,0.01049041748046875
mig,1.0,0.009059906005859375,0.010728836059570312,0.01049041748046875,0.011205673217773438
