mode,load,0_densenet121-2,1_resnet101-4,2_vgg11-2
mps-uncap,0.8,0.0095367431640625,0.008821487426757812,0.0073909759521484375
mps-uncap,0.9,0.008821487426757812,0.010251998901367188,0.0073909759521484375
mps-uncap,1.0,0.011444091796875,0.011444091796875,0.0073909759521484375
mps-uncap,0.5,0.010967254638671875,0.009775161743164062,0.007867813110351562
mps-uncap,0.6,0.009298324584960938,0.010013580322265625,0.007867813110351562
mps-uncap,0.7,0.009775161743164062,0.010251998901367188,0.007867813110351562
mps-uncap,0.1,0.012159347534179688,0.012159347534179688,0.010013580322265625
mps-uncap,0.2,0.012874603271484375,0.011920928955078125,0.010251998901367188
mps-uncap,0.3,0.008821487426757812,0.011682510375976562,0.009298324584960938
mps-uncap,0.4,0.011444091796875,0.011205673217773438,0.009059906005859375
