mode,load,0_mobilenet_v2-16,1_mobilenet_v2-8,2_mobilenet_v3_large-32
mps-uncap,0.8,0.008106231689453125,0.009059906005859375,0.009775161743164062
mps-uncap,0.9,0.008821487426757812,0.009059906005859375,0.008821487426757812
mps-uncap,1.0,0.009059906005859375,0.00858306884765625,0.011205673217773438
mps-uncap,0.5,0.010967254638671875,0.010013580322265625,0.011920928955078125
mps-uncap,0.6,0.010013580322265625,0.00858306884765625,0.011205673217773438
mps-uncap,0.7,0.009059906005859375,0.008344650268554688,0.0095367431640625
mps-uncap,0.1,0.011682510375976562,0.011444091796875,0.018358230590820312
mps-uncap,0.2,0.010728836059570312,0.010967254638671875,0.011920928955078125
mps-uncap,0.3,0.010728836059570312,0.010967254638671875,0.011682510375976562
mps-uncap,0.4,0.010728836059570312,0.010251998901367188,0.011920928955078125
