mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-32
mig,0.1,0.011682510375976562,0.012159347534179688
mig,0.2,0.012159347534179688,0.010967254638671875
mig,0.3,0.009775161743164062,0.011682510375976562
mig,0.4,0.009775161743164062,0.010013580322265625
mig,0.5,0.01049041748046875,0.009775161743164062
mig,0.6,0.009775161743164062,0.01049041748046875
mig,0.7,0.009298324584960938,0.009775161743164062
mig,0.8,0.010728836059570312,0.009298324584960938
mig,0.9,0.011444091796875,0.011205673217773438
mig,1.0,0.012636184692382812,0.011205673217773438
