mode,load,0_efficientnet_b6-2,1_mobilenet_v2-2,2_resnet50-4
mps-uncap,0.8,0.011205673217773438,0.00762939453125,0.008821487426757812
mps-uncap,0.9,0.012159347534179688,0.007867813110351562,0.008344650268554688
mps-uncap,1.0,0.012874603271484375,0.009775161743164062,0.009775161743164062
mps-uncap,0.5,0.010728836059570312,0.008106231689453125,0.00858306884765625
mps-uncap,0.6,0.010728836059570312,0.0073909759521484375,0.008344650268554688
mps-uncap,0.7,0.0095367431640625,0.007867813110351562,0.009059906005859375
mps-uncap,0.1,0.012874603271484375,0.01049041748046875,0.011682510375976562
mps-uncap,0.2,0.013828277587890625,0.010251998901367188,0.010251998901367188
mps-uncap,0.3,0.012159347534179688,0.0095367431640625,0.009059906005859375
mps-uncap,0.4,0.011682510375976562,0.008106231689453125,0.007867813110351562
