mode,load,0_alexnet-4,1_alexnet-4
mig,0.1,0.011444091796875,0.011205673217773438
mig,0.2,0.011444091796875,0.010728836059570312
mig,0.3,0.009059906005859375,0.00858306884765625
mig,0.4,0.009059906005859375,0.008821487426757812
mig,0.5,0.009298324584960938,0.009059906005859375
mig,0.6,0.009298324584960938,0.011444091796875
mig,0.7,0.009059906005859375,0.010967254638671875
mig,0.8,0.008821487426757812,0.011444091796875
mig,0.9,0.009059906005859375,0.011682510375976562
mig,1.0,0.010728836059570312,0.01049041748046875
