mode,load,0_densenet169-4,1_resnet101-16,2_squeezenet1_0-4
mps-uncap,0.8,0.009775161743164062,0.011205673217773438,0.007867813110351562
mps-uncap,0.9,0.012159347534179688,0.011205673217773438,0.00762939453125
mps-uncap,1.0,0.018835067749023438,0.011682510375976562,0.009298324584960938
mps-uncap,0.5,0.010251998901367188,0.011444091796875,0.009775161743164062
mps-uncap,0.6,0.011920928955078125,0.01049041748046875,0.009775161743164062
mps-uncap,0.7,0.011205673217773438,0.010967254638671875,0.0073909759521484375
mps-uncap,0.1,0.012159347534179688,0.0133514404296875,0.010013580322265625
mps-uncap,0.2,0.013113021850585938,0.011682510375976562,0.009775161743164062
mps-uncap,0.3,0.011444091796875,0.012636184692382812,0.009775161743164062
mps-uncap,0.4,0.01239776611328125,0.011444091796875,0.008344650268554688
