mode,load,0_alexnet-8,1_efficientnet_b6-4,2_squeezenet1_0-4
mps-uncap,0.8,0.0069141387939453125,0.012159347534179688,0.00762939453125
mps-uncap,0.9,0.007152557373046875,0.011682510375976562,0.00762939453125
mps-uncap,1.0,0.0073909759521484375,0.011920928955078125,0.007867813110351562
mps-uncap,0.5,0.008821487426757812,0.012159347534179688,0.008344650268554688
mps-uncap,0.6,0.008106231689453125,0.009775161743164062,0.00858306884765625
mps-uncap,0.7,0.0069141387939453125,0.010013580322265625,0.007867813110351562
mps-uncap,0.1,0.009059906005859375,0.019788742065429688,0.010728836059570312
mps-uncap,0.2,0.00858306884765625,0.013113021850585938,0.01049041748046875
mps-uncap,0.3,0.008106231689453125,0.01239776611328125,0.008344650268554688
mps-uncap,0.4,0.0073909759521484375,0.012159347534179688,0.009775161743164062
