mode,load,0_squeezenet1_1-2,1_vgg16-4,2_vgg19-8
mps-uncap,0.8,0.009775161743164062,0.009775161743164062,0.0095367431640625
mps-uncap,0.9,0.008106231689453125,0.00858306884765625,0.009298324584960938
mps-uncap,1.0,0.009775161743164062,0.009775161743164062,0.011444091796875
mps-uncap,0.5,0.010728836059570312,0.010728836059570312,0.010013580322265625
mps-uncap,0.6,0.010728836059570312,0.010251998901367188,0.010013580322265625
mps-uncap,0.7,0.008821487426757812,0.00858306884765625,0.009059906005859375
mps-uncap,0.1,0.011444091796875,0.011205673217773438,0.013589859008789062
mps-uncap,0.2,0.010728836059570312,0.010728836059570312,0.011444091796875
mps-uncap,0.3,0.01049041748046875,0.010967254638671875,0.009298324584960938
mps-uncap,0.4,0.010013580322265625,0.010251998901367188,0.010967254638671875
