mode,load,0_resnet101-2,1_resnet50-2,2_squeezenet1_0-2
mps-uncap,0.6,0.012874603271484375,0.011444091796875,0.010967254638671875
mig,0.6,0.014066696166992188,0.011444091796875,0.011205673217773438
mps-uncap,0.7,0.011920928955078125,0.011444091796875,0.011205673217773438
mig,0.7,0.01239776611328125,0.01239776611328125,0.010728836059570312
mps-uncap,0.8,0.013589859008789062,0.011205673217773438,0.011205673217773438
mig,0.8,0.011920928955078125,0.011682510375976562,0.011682510375976562
mps-uncap,0.9,0.014066696166992188,0.012159347534179688,0.010967254638671875
mig,0.9,0.011682510375976562,0.013828277587890625,0.011205673217773438
mps-uncap,1.0,0.014543533325195312,0.0133514404296875,0.014066696166992188
mig,1.0,0.01430511474609375,0.013828277587890625,0.011920928955078125
mps-uncap,1.1,0.01430511474609375,0.0152587890625,0.014781951904296875
mig,1.1,0.014781951904296875,0.0152587890625,0.0133514404296875
mps-uncap,1.2,0.016927719116210938,0.014066696166992188,0.013828277587890625
mig,1.2,0.015735626220703125,0.014781951904296875,0.012159347534179688
mps-uncap,1.3,0.015497207641601562,0.01621246337890625,0.01430511474609375
mig,1.3,0.01811981201171875,0.016689300537109375,0.0133514404296875
