mode,load,0_efficientnet_b5-4,1_resnet50-16,2_vgg16-2
mps-uncap,0.8,0.011920928955078125,0.011444091796875,0.0095367431640625
mps-uncap,0.9,0.01239776611328125,0.011920928955078125,0.01049041748046875
mps-uncap,1.0,0.017881393432617188,0.015974044799804688,0.010967254638671875
mps-uncap,0.5,0.012636184692382812,0.010013580322265625,0.01049041748046875
mps-uncap,0.6,0.012636184692382812,0.009059906005859375,0.009298324584960938
mps-uncap,0.7,0.012159347534179688,0.010967254638671875,0.009059906005859375
mps-uncap,0.1,0.012874603271484375,0.014781951904296875,0.014066696166992188
mps-uncap,0.2,0.012159347534179688,0.011920928955078125,0.01239776611328125
mps-uncap,0.3,0.012636184692382812,0.011920928955078125,0.013113021850585938
mps-uncap,0.4,0.01239776611328125,0.011444091796875,0.011205673217773438
