mode,load,0_inception_v3-4,1_squeezenet1_1-2,2_vgg19-4
mps-uncap,0.8,0.010013580322265625,0.008821487426757812,0.0095367431640625
mps-uncap,0.9,0.009775161743164062,0.0095367431640625,0.009775161743164062
mps-uncap,1.0,0.012636184692382812,0.010967254638671875,0.011444091796875
mps-uncap,0.5,0.011682510375976562,0.009059906005859375,0.009775161743164062
mps-uncap,0.6,0.011444091796875,0.009059906005859375,0.008821487426757812
mps-uncap,0.7,0.009775161743164062,0.009059906005859375,0.009298324584960938
mps-uncap,0.1,0.012636184692382812,0.011920928955078125,0.011444091796875
mps-uncap,0.2,0.012159347534179688,0.011205673217773438,0.012159347534179688
mps-uncap,0.3,0.012159347534179688,0.009059906005859375,0.010967254638671875
mps-uncap,0.4,0.009775161743164062,0.009775161743164062,0.009298324584960938
