mode,load,0_alexnet-8,1_efficientnet_b6-8,2_mobilenet_v3_large-8
mps-uncap,0.8,0.0073909759521484375,0.011444091796875,0.009298324584960938
mps-uncap,0.9,0.0069141387939453125,0.01239776611328125,0.008821487426757812
mps-uncap,1.0,0.00762939453125,0.011920928955078125,0.010251998901367188
mps-uncap,0.5,0.008344650268554688,0.011920928955078125,0.0095367431640625
mps-uncap,0.6,0.0073909759521484375,0.012159347534179688,0.009059906005859375
mps-uncap,0.7,0.007152557373046875,0.010728836059570312,0.00858306884765625
mps-uncap,0.1,0.010013580322265625,0.023603439331054688,0.011682510375976562
mps-uncap,0.2,0.00858306884765625,0.010728836059570312,0.011205673217773438
mps-uncap,0.3,0.007867813110351562,0.012159347534179688,0.011205673217773438
mps-uncap,0.4,0.00762939453125,0.012159347534179688,0.010967254638671875
