mode,load,0_mobilenet_v3_large-32,1_mobilenet_v3_large-32,2_mobilenet_v3_large-32,3_mobilenet_v3_large-32
mig,0.1,0.014781951904296875,0.012636184692382812,0.013113021850585938,0.020742416381835938
mig,0.2,0.011920928955078125,0.012636184692382812,0.013589859008789062,0.015735626220703125
mig,0.3,0.011920928955078125,0.01239776611328125,0.01239776611328125,0.014066696166992188
mig,0.4,0.012159347534179688,0.011682510375976562,0.01049041748046875,0.012874603271484375
mig,0.5,0.011444091796875,0.010728836059570312,0.011444091796875,0.01430511474609375
mig,0.6,0.010967254638671875,0.010251998901367188,0.011205673217773438,0.012159347534179688
mig,0.7,0.01049041748046875,0.011444091796875,0.010251998901367188,0.012636184692382812
mig,0.8,0.01049041748046875,0.011682510375976562,0.012159347534179688,0.0133514404296875
mig,0.9,0.011444091796875,0.011920928955078125,0.011444091796875,0.013589859008789062
mig,1.0,0.013589859008789062,0.012159347534179688,0.011920928955078125,0.01430511474609375
