mode,load,0_efficientnet_b5-4,1_efficientnet_b6-8,2_vgg19-2
mps-uncap,0.8,0.010013580322265625,0.01239776611328125,0.008106231689453125
mps-uncap,0.9,0.012159347534179688,0.01239776611328125,0.008344650268554688
mps-uncap,1.0,0.01239776611328125,0.013589859008789062,0.010013580322265625
mps-uncap,0.5,0.01239776611328125,0.012159347534179688,0.009059906005859375
mps-uncap,0.6,0.010251998901367188,0.011682510375976562,0.008106231689453125
mps-uncap,0.7,0.011444091796875,0.012159347534179688,0.008821487426757812
mps-uncap,0.1,0.020742416381835938,0.012874603271484375,0.010967254638671875
mps-uncap,0.2,0.012636184692382812,0.013113021850585938,0.009298324584960938
mps-uncap,0.3,0.011920928955078125,0.01239776611328125,0.010013580322265625
mps-uncap,0.4,0.012159347534179688,0.012159347534179688,0.00858306884765625
