mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_small-4,2_resnet50-8
mps-uncap,0.8,0.008344650268554688,0.008344650268554688,0.008821487426757812
mps-uncap,0.9,0.008106231689453125,0.009059906005859375,0.009298324584960938
mps-uncap,1.0,0.010013580322265625,0.010251998901367188,0.007867813110351562
mps-uncap,0.5,0.009298324584960938,0.00858306884765625,0.009298324584960938
mps-uncap,0.6,0.008821487426757812,0.008106231689453125,0.008821487426757812
mps-uncap,0.7,0.00858306884765625,0.00858306884765625,0.00858306884765625
mps-uncap,0.1,0.010967254638671875,0.010967254638671875,0.011682510375976562
mps-uncap,0.2,0.010728836059570312,0.01049041748046875,0.010728836059570312
mps-uncap,0.3,0.009298324584960938,0.010728836059570312,0.010967254638671875
mps-uncap,0.4,0.008344650268554688,0.00858306884765625,0.010967254638671875
