mode,load,0_resnet34-16,1_resnet34-16,2_resnet34-16,3_resnet34-16
mig,0.1,0.013113021850585938,0.012159347534179688,0.0095367431640625,0.022172927856445312
mig,0.2,0.011920928955078125,0.0133514404296875,0.01239776611328125,0.013828277587890625
mig,0.3,0.011444091796875,0.012874603271484375,0.011444091796875,0.012874603271484375
mig,0.4,0.011205673217773438,0.010728836059570312,0.011920928955078125,0.012874603271484375
mig,0.5,0.011682510375976562,0.010967254638671875,0.011205673217773438,0.012636184692382812
mig,0.6,0.011205673217773438,0.010967254638671875,0.010251998901367188,0.01239776611328125
mig,0.7,0.010013580322265625,0.011205673217773438,0.01049041748046875,0.013113021850585938
mig,0.9,0.01049041748046875,0.010967254638671875,0.010967254638671875,0.012874603271484375
mig,1.0,0.011682510375976562,0.011920928955078125,0.009298324584960938,0.01239776611328125
mig,0.8,0.010967254638671875,0.011682510375976562,0.009298324584960938,0.012159347534179688
