mode,load,0_vgg11-4,1_vgg11-4
mig,0.1,0.010251998901367188,0.01049041748046875
mig,0.2,0.01049041748046875,0.010967254638671875
mig,0.3,0.009059906005859375,0.00858306884765625
mig,0.4,0.009775161743164062,0.008106231689453125
mig,0.5,0.010013580322265625,0.009059906005859375
mig,0.6,0.008821487426757812,0.007867813110351562
mig,0.7,0.0073909759521484375,0.008344650268554688
mig,0.8,0.007867813110351562,0.008344650268554688
mig,0.9,0.008344650268554688,0.010013580322265625
mig,1.0,0.008344650268554688,0.009298324584960938
