m1,b1,m2,b2,m3,b3,mode,load,tput_m1,tput_m2,tput_m3,total_p90_m1,total_p90_m2,total_p90_m3,total_p99_m1,total_p99_m2,total_p99_m3,total_p100_m1,total_p100_m2,total_p100_m3,slo_m1,slo_violation_m1,slo_m2,slo_violation_m2,slo_m3,slo_violation_m3,slo_violation_no
densenet161,32,efficientnet_b5,16,resnet152,4,mps-uncap,1.0,553.8832964079696,394.8103107910373,123.83023314449714,60.274600982666016,43.50299835205078,36.150217056274414,61.17129325866699,45.56918621063232,38.61706733703613,65.25349617004395,51.172494888305664,41.97597503662109,111.125,0,78.61,0,64.085,0,0
densenet161,32,efficientnet_b5,16,resnet152,4,mig,1.0,504.7510108346986,296.2167425330545,255.978248801457,63.8503074645996,54.41355705261231,15.797138214111328,65.80837488174438,55.40971994400024,16.34571075439453,76.68566703796387,63.43984603881836,29.407262802124023,111.125,0,78.61,0,64.085,0,0
vgg19,16,densenet169,16,mobilenet_v3_small,2,mps-uncap,1.0,1090.0067822568308,271.673845251789,175.3860869762766,16.333818435668945,61.10029220581055,14.964866638183596,16.825838088989258,63.33190917968751,16.43693923950195,22.30620384216309,64.75138664245605,21.37923240661621,41.37,0,78.47,0,20.895,1,1
vgg19,16,densenet169,16,mobilenet_v3_small,2,mig,1.0,621.1807948252734,453.6469102148985,482.7760149365679,26.087570190429688,35.58039665222168,4.207611083984375,26.960010528564457,36.88890933990479,4.377365112304688,36.91411018371582,46.08583450317383,11.918306350708008,41.37,0,78.47,0,20.895,0,0
resnet152,32,densenet169,2,squeezenet1_0,2,mps-uncap,1.0,952.2908162161908,75.58703185810423,600.3124484985274,33.88974666595459,28.274536132812504,4.7640323638916025,34.35642719268799,29.546322822570804,7.1135210990905735,45.7615852355957,37.917137145996094,14.200687408447266,95.725,0,78.89,0,9.485,1,1
resnet152,32,densenet169,2,squeezenet1_0,2,mig,1.0,571.943974085496,117.18935798090304,1150.9526221645413,56.17489814758301,17.254185676574707,1.7592906951904297,58.3624267578125,18.156185150146484,1.87373161315918,66.3299560546875,27.827024459838867,10.60938835144043,95.725,0,78.89,0,9.485,1,1
resnet152,32,densenet169,8,squeezenet1_0,16,mps-uncap,1.0,651.8395865605289,169.3421194649701,2118.200157265233,49.96581077575684,48.94018173217773,10.025262832641602,50.76447486877441,49.85605478286743,12.428665161132812,61.19871139526367,58.72726440429688,18.195629119873047,95.725,0,78.68,0,13.02,1,1
resnet152,32,densenet169,8,squeezenet1_0,16,mig,1.0,558.0784716480069,408.17726959537936,1511.3648540940685,57.87143707275391,19.82243061065674,10.83354949951172,59.938523769378655,20.737578868865967,11.581592559814451,68.69840621948242,31.88920021057129,23.173093795776367,95.725,0,78.68,0,13.02,1,1
densenet169,32,resnet152,8,resnet50,2,mps-uncap,1.0,958.2245855589304,301.244406117787,241.35433604417264,34.03596878051758,28.597712516784668,13.188767433166504,34.671926498413086,29.517829418182373,14.725234508514404,43.90215873718262,40.00711441040039,19.611835479736328,75.495,0,64.155,0,24.115,0,0
densenet169,32,resnet152,8,resnet50,2,mig,1.0,783.4958949641679,304.7798612836572,399.2275861260643,41.09091758728027,26.41768455505371,5.082607269287109,43.14603805541992,27.3740291595459,5.2957510948181135,50.5518913269043,37.934303283691406,16.83521270751953,75.495,0,64.155,0,24.115,0,0
alexnet,4,mobilenet_v3_small,16,resnet18,8,mps-uncap,1.0,3081.761671629345,3752.23736525957,2829.232241436631,1.6133785247802734,4.413127899169922,3.108978271484375,2.232074737548828,4.630463123321533,3.5500526428222656,11.891603469848633,18.39017868041992,11.999845504760742,3.57,1,21.49,0,8.96,1,2
alexnet,4,mobilenet_v3_small,16,resnet18,8,mig,1.0,3196.659105668518,3832.9397144426234,1879.9055728044657,1.356363296508789,4.212856292724609,4.4002532958984375,1.4696121215820312,4.381434917449951,4.62618350982666,11.386394500732422,12.01939582824707,14.265298843383787,3.57,1,21.49,0,8.96,1,2
densenet161,16,resnet101,16,vgg11,16,mps-uncap,1.0,195.7654289414348,314.98415378500897,1744.1650706365592,84.12861824035645,53.81619930267334,10.715484619140623,86.71701431274414,55.08843660354615,12.481856346130373,88.94491195678711,63.02380561828613,19.92273330688477,76.965,1,43.995,1,21.77,0,2
densenet161,16,resnet101,16,vgg11,16,mig,1.0,444.16565915159777,431.49511190084536,770.7828299762898,36.44719123840332,37.48431205749512,21.071290969848636,37.729597091674805,38.62100124359131,22.101054191589355,50.39525032043457,48.99454116821289,27.27746963500977,76.965,0,43.995,1,21.77,1,2
vgg19,16,densenet169,8,resnet101,4,mps-uncap,1.0,1091.7500751209209,146.50935724987335,113.79411399309711,15.400075912475586,57.20257759094238,38.21723461151122,15.834455490112306,58.27522277832032,40.80579996109008,25.41065216064453,58.98404121398926,42.835235595703125,41.37,0,78.68,0,43.785,0,0
vgg19,16,densenet169,8,resnet101,4,mig,1.0,596.8244387529298,402.9465000372172,343.2112112260303,27.1251916885376,20.04528045654297,11.76762580871582,28.023455142974854,20.830039978027344,12.25183486938477,34.41429138183594,34.56544876098633,22.038936614990234,41.37,0,78.68,0,43.785,0,0
mobilenet_v3_small,16,mobilenet_v3_large,2,resnet152,4,mps-uncap,1.0,3855.366309284131,411.4863292738536,294.1379511295362,4.219532012939453,4.950284957885742,13.86427879333496,4.395380020141602,5.118238925933838,14.30506706237793,18.76139640808105,12.151002883911133,26.134252548217773,21.49,0,24.395,0,64.085,0,0
mobilenet_v3_small,16,mobilenet_v3_large,2,resnet152,4,mig,1.0,3772.005864122136,400.5985055391815,261.8246100006445,4.311800003051758,5.080938339233398,15.436339378356935,4.502773284912109,5.327038764953613,16.492104530334473,16.58940315246582,13.23390007019043,29.48141098022461,21.49,0,24.395,0,64.085,0,0
efficientnet_b7,16,mobilenet_v3_small,2,resnet152,16,mps-uncap,1.0,340.7400443724252,288.67506199877613,491.9020782704964,48.56624603271485,9.965896606445312,34.63277816772461,49.07566547393798,12.00685501098633,35.22478103637695,54.67820167541504,17.485857009887695,36.39483451843262,110.39,0,20.895,0,64.33,0,0
efficientnet_b7,16,mobilenet_v3_small,2,resnet152,16,mig,1.0,274.79642396516914,483.8224599097475,321.94208488288655,58.469200134277344,4.205012321472169,49.90801811218262,60.11775016784668,4.3920087814331055,51.38729572296143,71.55799865722656,12.623071670532228,62.74271011352539,110.39,0,20.895,0,64.33,0,0
vgg11,32,efficientnet_b6,8,mobilenet_v2,4,mps-uncap,1.0,2354.379547645985,132.26917154956266,294.1446543568228,14.403724670410158,65.42882919311523,16.90387725830078,15.052268505096436,67.03622817993164,20.902338027954105,24.984359741210938,71.04825973510742,22.61924743652344,39.62,0,87.815,0,20.37,1,1
vgg11,32,efficientnet_b6,8,mobilenet_v2,4,mig,1.0,1347.1041477929937,223.4140890280549,996.1535247017924,24.09825325012207,36.02728843688965,4.215240478515625,25.97704887390137,36.99847221374512,4.340648651123047,34.12437438964844,50.2469539642334,11.142969131469728,39.62,0,87.815,0,20.37,0,0
squeezenet1_1,32,efficientnet_b5,16,resnet152,2,mps-uncap,1.0,4086.122633024108,571.7579818151332,74.05078924319638,10.387659072875977,29.40807342529297,28.69405746459961,11.397123336791992,30.48437595367432,29.653151035308845,18.967390060424805,40.0238037109375,37.61744499206543,15.995,1,78.61,0,63.56,0,1
