mode,load,0_densenet201-4,1_resnet34-4,2_squeezenet1_0-2
mps-uncap,0.8,0.010251998901367188,0.0073909759521484375,0.007152557373046875
mps-uncap,0.9,0.012159347534179688,0.008821487426757812,0.00762939453125
mps-uncap,1.0,0.012159347534179688,0.00762939453125,0.009775161743164062
mps-uncap,0.5,0.011920928955078125,0.00858306884765625,0.00762939453125
mps-uncap,0.6,0.010967254638671875,0.008106231689453125,0.007152557373046875
mps-uncap,0.7,0.010013580322265625,0.00858306884765625,0.0073909759521484375
mps-uncap,0.1,0.013828277587890625,0.010728836059570312,0.010013580322265625
mps-uncap,0.2,0.011205673217773438,0.01049041748046875,0.0095367431640625
mps-uncap,0.3,0.012159347534179688,0.010013580322265625,0.0095367431640625
mps-uncap,0.4,0.012159347534179688,0.009775161743164062,0.00762939453125
