mode,load,0_densenet121-8,1_mobilenet_v3_small-16,2_squeezenet1_0-4
mps-uncap,0.8,0.01239776611328125,0.012159347534179688,0.0095367431640625
mps-uncap,0.9,0.012636184692382812,0.01239776611328125,0.011920928955078125
mps-uncap,1.0,0.014066696166992188,0.013589859008789062,0.011682510375976562
mps-uncap,0.5,0.010251998901367188,0.0095367431640625,0.008821487426757812
mps-uncap,0.6,0.009775161743164062,0.009298324584960938,0.009298324584960938
mps-uncap,0.7,0.01239776611328125,0.010013580322265625,0.008821487426757812
mps-uncap,0.1,0.012874603271484375,0.012636184692382812,0.011682510375976562
mps-uncap,0.2,0.011682510375976562,0.011682510375976562,0.011444091796875
mps-uncap,0.3,0.011682510375976562,0.010013580322265625,0.010728836059570312
mps-uncap,0.4,0.01239776611328125,0.010013580322265625,0.009059906005859375
