mode,load,0_efficientnet_b5-32,1_resnet101-2,2_resnet34-4
mps-uncap,0.8,0.013113021850585938,0.011444091796875,0.009298324584960938
mps-uncap,0.9,0.01239776611328125,0.011444091796875,0.011444091796875
mps-uncap,1.0,0.020265579223632812,0.011682510375976562,0.010013580322265625
mps-uncap,0.5,0.011682510375976562,0.011682510375976562,0.009775161743164062
mps-uncap,0.6,0.012159347534179688,0.011682510375976562,0.009298324584960938
mps-uncap,0.7,0.011920928955078125,0.011920928955078125,0.0095367431640625
mps-uncap,0.1,0.011920928955078125,0.0152587890625,0.01430511474609375
mps-uncap,0.2,0.01239776611328125,0.012636184692382812,0.011920928955078125
mps-uncap,0.3,0.011682510375976562,0.012159347534179688,0.011444091796875
mps-uncap,0.4,0.012159347534179688,0.011682510375976562,0.011444091796875
