mode,load,0_resnet18-16,1_squeezenet1_0-16,2_vgg16-4
mps-uncap,0.8,0.010013580322265625,0.008821487426757812,0.00858306884765625
mps-uncap,0.9,0.009059906005859375,0.0095367431640625,0.008821487426757812
mps-uncap,1.0,0.008106231689453125,0.010013580322265625,0.0095367431640625
mps-uncap,0.5,0.010728836059570312,0.010251998901367188,0.010251998901367188
mps-uncap,0.6,0.009298324584960938,0.010013580322265625,0.009059906005859375
mps-uncap,0.7,0.010013580322265625,0.007867813110351562,0.008344650268554688
mps-uncap,0.1,0.012874603271484375,0.010967254638671875,0.011444091796875
mps-uncap,0.2,0.010251998901367188,0.011205673217773438,0.010967254638671875
mps-uncap,0.3,0.010251998901367188,0.010967254638671875,0.008344650268554688
mps-uncap,0.4,0.010728836059570312,0.01049041748046875,0.010728836059570312
