mode,load,0_densenet201-4,1_efficientnet_b5-2,2_vgg16-8
mps-uncap,0.8,0.012636184692382812,0.012159347534179688,0.011205673217773438
mps-uncap,0.9,0.0133514404296875,0.012636184692382812,0.009775161743164062
mps-uncap,1.0,0.012636184692382812,0.01811981201171875,0.011920928955078125
mps-uncap,0.5,0.012636184692382812,0.01239776611328125,0.009059906005859375
mps-uncap,0.6,0.012159347534179688,0.012159347534179688,0.0095367431640625
mps-uncap,0.7,0.012874603271484375,0.012874603271484375,0.008821487426757812
mps-uncap,0.1,0.015020370483398438,0.015735626220703125,0.012159347534179688
mps-uncap,0.2,0.012636184692382812,0.012159347534179688,0.010728836059570312
mps-uncap,0.3,0.01239776611328125,0.012636184692382812,0.009298324584960938
mps-uncap,0.4,0.013113021850585938,0.011920928955078125,0.0095367431640625
