mode,load,0_resnet34-16,1_vgg19-2,2_vgg19-8
mps-uncap,0.8,0.009059906005859375,0.0095367431640625,0.00858306884765625
mps-uncap,0.9,0.010967254638671875,0.008821487426757812,0.009059906005859375
mps-uncap,1.0,0.012874603271484375,0.011444091796875,0.010013580322265625
mps-uncap,0.5,0.011444091796875,0.010013580322265625,0.010728836059570312
mps-uncap,0.6,0.010728836059570312,0.010251998901367188,0.01049041748046875
mps-uncap,0.7,0.011205673217773438,0.008821487426757812,0.010013580322265625
mps-uncap,0.1,0.019311904907226562,0.02002716064453125,0.011920928955078125
mps-uncap,0.2,0.01239776611328125,0.009775161743164062,0.010967254638671875
mps-uncap,0.3,0.011682510375976562,0.008821487426757812,0.011444091796875
mps-uncap,0.4,0.011920928955078125,0.010967254638671875,0.011920928955078125
