mode,load,0_densenet121-16,1_densenet169-8,2_mobilenet_v2-2
mps-uncap,0.8,0.011920928955078125,0.010251998901367188,0.008344650268554688
mps-uncap,0.9,0.010967254638671875,0.011682510375976562,0.00858306884765625
mps-uncap,1.0,0.011205673217773438,0.012636184692382812,0.008106231689453125
mps-uncap,0.5,0.009298324584960938,0.010728836059570312,0.007867813110351562
mps-uncap,0.6,0.009775161743164062,0.01049041748046875,0.00858306884765625
mps-uncap,0.7,0.011444091796875,0.011920928955078125,0.008106231689453125
mps-uncap,0.1,0.012636184692382812,0.013828277587890625,0.011444091796875
mps-uncap,0.2,0.01239776611328125,0.0133514404296875,0.010728836059570312
mps-uncap,0.3,0.012159347534179688,0.0095367431640625,0.010013580322265625
mps-uncap,0.4,0.012159347534179688,0.011920928955078125,0.00858306884765625
