mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_large-4
mig,0.1,0.011205673217773438,0.010728836059570312
mig,0.2,0.010251998901367188,0.009298324584960938
mig,0.3,0.01049041748046875,0.009298324584960938
mig,0.4,0.008344650268554688,0.008344650268554688
mig,0.5,0.008344650268554688,0.00858306884765625
mig,0.6,0.00858306884765625,0.00858306884765625
mig,0.7,0.008106231689453125,0.00858306884765625
mig,0.8,0.008344650268554688,0.008344650268554688
mig,0.9,0.00858306884765625,0.00858306884765625
mig,1.0,0.01049041748046875,0.010251998901367188
