mode,load,0_squeezenet1_0-32,1_squeezenet1_0-32
mig,0.1,0.012159347534179688,0.012636184692382812
mig,0.2,0.011444091796875,0.009775161743164062
mig,0.3,0.010967254638671875,0.011205673217773438
mig,0.4,0.009298324584960938,0.009298324584960938
mig,0.5,0.011205673217773438,0.0095367431640625
mig,0.6,0.010967254638671875,0.010967254638671875
mig,0.7,0.010967254638671875,0.011205673217773438
mig,0.8,0.011444091796875,0.011444091796875
mig,0.9,0.011920928955078125,0.011682510375976562
mig,1.0,0.012636184692382812,0.01239776611328125
