mode,load,0_densenet161-4,1_efficientnet_b5-32,2_resnet18-2
mps-uncap,0.8,0.011444091796875,0.012636184692382812,0.0095367431640625
mps-uncap,0.9,0.012874603271484375,0.012159347534179688,0.011682510375976562
mps-uncap,1.0,0.012159347534179688,0.016689300537109375,0.011444091796875
mps-uncap,0.5,0.010013580322265625,0.012159347534179688,0.009775161743164062
mps-uncap,0.6,0.011920928955078125,0.011682510375976562,0.009298324584960938
mps-uncap,0.7,0.012159347534179688,0.011920928955078125,0.009298324584960938
mps-uncap,0.1,0.015497207641601562,0.015497207641601562,0.013589859008789062
mps-uncap,0.2,0.011920928955078125,0.010251998901367188,0.011205673217773438
mps-uncap,0.3,0.01239776611328125,0.011920928955078125,0.010251998901367188
mps-uncap,0.4,0.011920928955078125,0.012159347534179688,0.011205673217773438
