mode,load,0_inception_v3-8,1_mobilenet_v3_large-16,2_vgg16-2
mps-uncap,0.8,0.009775161743164062,0.010251998901367188,0.009298324584960938
mps-uncap,0.9,0.012159347534179688,0.009775161743164062,0.0095367431640625
mps-uncap,1.0,0.012636184692382812,0.011682510375976562,0.011205673217773438
mps-uncap,0.5,0.010251998901367188,0.009775161743164062,0.008821487426757812
mps-uncap,0.6,0.011205673217773438,0.0095367431640625,0.009059906005859375
mps-uncap,0.7,0.010251998901367188,0.009059906005859375,0.008821487426757812
mps-uncap,0.1,0.0133514404296875,0.014781951904296875,0.018596649169921875
mps-uncap,0.2,0.011682510375976562,0.011682510375976562,0.011920928955078125
mps-uncap,0.3,0.011682510375976562,0.011205673217773438,0.011444091796875
mps-uncap,0.4,0.010013580322265625,0.011444091796875,0.010728836059570312
